# key,input,result,count
oak_planks_to_stick,oak_planks,stick,2
oak_planks_to_oak_stairs,oak_planks,oak_stairs,1
oak_planks_to_oak_slab,oak_planks,oak_slab,2
oak_planks_to_oak_fence,oak_planks,oak_fence,1
oak_planks_to_oak_fence_gate,oak_planks,oak_fence_gate,1
oak_planks_to_oak_door,oak_planks,oak_door,1
oak_planks_to_oak_trapdoor,oak_planks,oak_trapdoor,1
oak_planks_to_oak_pressure_plate,oak_planks,oak_pressure_plate,1
oak_planks_to_oak_button,oak_planks,oak_button,1
oak_planks_to_oak_sign,oak_planks,oak_sign,1
oak_log_to_oak_planks,oak_log,oak_planks,4
oak_log_to_stick,oak_log,stick,8
oak_log_to_oak_stairs,oak_log,oak_stairs,4
oak_log_to_oak_slab,oak_log,oak_slab,8
oak_log_to_oak_fence,oak_log,oak_fence,4
oak_log_to_oak_fence_gate,oak_log,oak_fence_gate,4
oak_log_to_oak_door,oak_log,oak_door,4
oak_log_to_oak_trapdoor,oak_log,oak_trapdoor,4
oak_log_to_oak_pressure_plate,oak_log,oak_pressure_plate,4
oak_log_to_oak_button,oak_log,oak_button,4
oak_log_to_oak_sign,oak_log,oak_sign,4
oak_wood_to_oak_planks,oak_wood,oak_planks,4
oak_wood_to_stick,oak_wood,stick,8
oak_wood_to_oak_stairs,oak_wood,oak_stairs,4
oak_wood_to_oak_slab,oak_wood,oak_slab,8
oak_wood_to_oak_fence,oak_wood,oak_fence,4
oak_wood_to_oak_fence_gate,oak_wood,oak_fence_gate,4
oak_wood_to_oak_door,oak_wood,oak_door,4
oak_wood_to_oak_trapdoor,oak_wood,oak_trapdoor,4
oak_wood_to_oak_pressure_plate,oak_wood,oak_pressure_plate,4
oak_wood_to_oak_button,oak_wood,oak_button,4
oak_wood_to_oak_sign,oak_wood,oak_sign,4
stripped_oak_log_to_oak_planks,stripped_oak_log,oak_planks,4
stripped_oak_log_to_stick,stripped_oak_log,stick,8
stripped_oak_log_to_oak_stairs,stripped_oak_log,oak_stairs,4
stripped_oak_log_to_oak_slab,stripped_oak_log,oak_slab,8
stripped_oak_log_to_oak_fence,stripped_oak_log,oak_fence,4
stripped_oak_log_to_oak_fence_gate,stripped_oak_log,oak_fence_gate,4
stripped_oak_log_to_oak_door,stripped_oak_log,oak_door,4
stripped_oak_log_to_oak_trapdoor,stripped_oak_log,oak_trapdoor,4
stripped_oak_log_to_oak_pressure_plate,stripped_oak_log,oak_pressure_plate,4
stripped_oak_log_to_oak_button,stripped_oak_log,oak_button,4
stripped_oak_log_to_oak_sign,stripped_oak_log,oak_sign,4
stripped_oak_wood_to_oak_planks,stripped_oak_wood,oak_planks,4
stripped_oak_wood_to_stick,stripped_oak_wood,stick,8
stripped_oak_wood_to_oak_stairs,stripped_oak_wood,oak_stairs,4
stripped_oak_wood_to_oak_slab,stripped_oak_wood,oak_slab,8
stripped_oak_wood_to_oak_fence,stripped_oak_wood,oak_fence,4
stripped_oak_wood_to_oak_fence_gate,stripped_oak_wood,oak_fence_gate,4
stripped_oak_wood_to_oak_door,stripped_oak_wood,oak_door,4
stripped_oak_wood_to_oak_trapdoor,stripped_oak_wood,oak_trapdoor,4
stripped_oak_wood_to_oak_pressure_plate,stripped_oak_wood,oak_pressure_plate,4
stripped_oak_wood_to_oak_button,stripped_oak_wood,oak_button,4
stripped_oak_wood_to_oak_sign,stripped_oak_wood,oak_sign,4
spruce_planks_to_stick,spruce_planks,stick,2
spruce_planks_to_spruce_stairs,spruce_planks,spruce_stairs,1
spruce_planks_to_spruce_slab,spruce_planks,spruce_slab,2
spruce_planks_to_spruce_fence,spruce_planks,spruce_fence,1
spruce_planks_to_spruce_fence_gate,spruce_planks,spruce_fence_gate,1
spruce_planks_to_spruce_door,spruce_planks,spruce_door,1
spruce_planks_to_spruce_trapdoor,spruce_planks,spruce_trapdoor,1
spruce_planks_to_spruce_pressure_plate,spruce_planks,spruce_pressure_plate,1
spruce_planks_to_spruce_button,spruce_planks,spruce_button,1
spruce_planks_to_spruce_sign,spruce_planks,spruce_sign,1
spruce_log_to_spruce_planks,spruce_log,spruce_planks,4
spruce_log_to_stick,spruce_log,stick,8
spruce_log_to_spruce_stairs,spruce_log,spruce_stairs,4
spruce_log_to_spruce_slab,spruce_log,spruce_slab,8
spruce_log_to_spruce_fence,spruce_log,spruce_fence,4
spruce_log_to_spruce_fence_gate,spruce_log,spruce_fence_gate,4
spruce_log_to_spruce_door,spruce_log,spruce_door,4
spruce_log_to_spruce_trapdoor,spruce_log,spruce_trapdoor,4
